source,target
81027087,80000392
81027087,80042906
81027090,80052824
81027090,80086304
81027090,82020799
81027090,82026066
81027090,82026541
81027090,80029561
81027090,80000191
81027090,82000017
81027090,82000020
81027090,82000026
81027090,82000027
81027090,82000028
81027090,82000029
81027090,82000031
81027090,82000033
81027090,82000034
81027090,82000038
81027090,82000040
81027090,82000041
81027090,82000042
81027090,82000043
81027090,82000045
81027090,82000046
81027090,82000047
81027090,82000049
81027090,82000051
81027090,82000052
81027090,82000053
81027090,82000055
81027090,82000057
81027090,82000059
81027090,82000065
81027090,82000069
81027090,82000070
81027090,82000072
81027090,82000073
81027090,82000076
81027090,82000080
81027090,82000083
81027090,82000084
81027090,82000085
81027090,82000094
81027090,82000101
81027090,82000105
81027090,82000108
81027090,82000109
81027090,82000110
81027090,82000111
81027090,82000115
81027090,82000124
81027090,82000128
81027090,82000131
81027090,82000132
81027090,82000135
81027090,82000136
81027090,82000137
81027090,82000139
81027090,82000140
81027090,82000141
81027090,82000142
81027090,82000146
81027090,82000148
81027090,82000153
81027090,82000155
81027090,82000156
81027090,82000157
81027090,82000162
81027090,82000163
81027090,82000167
81027090,82000168
81027090,82000169
81027090,82000170
81027090,82000172
81027090,82000173
81027090,82000175
81027090,82000176
81027090,82000178
81027090,82000180
81027090,82000181
81027090,82000182
81027090,82000188
81027090,82000189
81027090,82000190
81027090,82000191
81027090,82000194
81027090,82000195
81027090,82000196
81027090,82000198
81027090,82000201
81027090,82000203
81027090,82000205
81027090,82000206
81027090,82000207
81027090,82000209
81027090,82000212
81027090,82000215
81027090,82000216
81027090,82000219
81027090,82000223
81027090,82000224
81027090,82000229
81027090,82000232
81027090,82000233
81027090,82000236
81027090,82000243
81027090,82000246
81027090,82000247
81027090,82000248
81027090,82000250
81027090,82000251
81027090,82000253
81027090,82000255
81027090,82000256
81027090,82000258
81027090,82000266
81027090,82000267
81027090,82000271
81027090,82000272
81027090,82000273
81027090,82000274
81027090,82000276
81027090,82000277
81027090,82000278
81027090,82000280
81027090,82000284
81027090,82000286
81027090,82000288
81027090,82000289
81027090,82000295
81027090,82000296
81027090,82000299
81027090,82000301
81027090,82000303
81027090,82000304
81027090,82000306
81027090,82000307
81027090,82000309
81027090,82000312
81027090,82000317
81027090,82000318
81027090,82000319
81027090,82000322
81027090,82000324
81027090,82000325
81027090,82000327
81027090,82000328
81027090,82000329
81027090,82000334
81027090,82000335
81027090,82000336
81027090,82000339
81027090,82000342
81027090,82000343
81027090,82000345
81027090,82000346
81027090,82000353
81027090,82000354
81027090,82000355
81027090,82000422
81027090,82000424
81027090,82000423
81027090,82000426
81027090,82000425
81027090,82000429
81027090,82000430
81027090,82000432
81027090,82000433
81027090,82000434
81027090,82000435
81027090,82000438
81027090,82000439
81027090,82000440
81027090,82000444
81027090,82000445
81027090,82000449
81027090,82000455
81027090,82000459
81027090,82000460
81027090,82000461
81027090,82000462
81027090,82000465
81027090,82000467
81027090,82000469
81027090,82000474
81027090,82000477
81027090,82000478
81027090,82000480
81027090,82000481
81027090,82000482
81027090,82000483
81027090,82000486
81027090,82000488
81027090,82000491
81027090,82000492
81027090,82000493
81027090,82000494
81027090,82000495
81027090,82000498
81027090,82000499
81027090,82000502
81027090,82000504
81027090,82000510
81027090,82000511
81027090,82000512
81027090,82000513
81027090,82000515
81027090,82000521
81027090,82000522
81027090,82000528
81027090,82000529
81027090,82000531
81027090,82000532
81027090,82000533
81027090,82000534
81027090,82000536
81027090,82000537
81027090,82000538
81027090,82000539
81027090,82000543
81027090,82000549
81027090,82000553
81027090,82000555
81027090,82000558
81027090,82000559
81027090,82000560
81027090,82000561
81027090,82000562
81027090,82000564
81027090,82000567
81027090,82000569
81027090,82000570
81027090,82000571
81027090,82000572
81027090,82000573
81027090,82000574
81027090,82000575
81027090,82000576
81027090,82000577
81027090,82000578
81027090,82000584
81027090,82000586
81027090,82000587
81027090,82000588
81027090,82000590
81027090,82000593
81027090,82000594
81027090,82000595
81027090,82000597
81027090,82000603
81027090,82000604
81027090,82000607
81027090,82000615
81027090,82000624
81027090,82000626
81027090,82000631
81027090,82000632
81027090,82000635
81027090,82000642
81027090,82000648
81027090,82000649
81027090,82000650
81027090,82000651
81027090,82000659
81027090,82000663
81027090,82000665
81027090,82000667
81027090,82000668
81027090,82000670
81027090,82000671
81027090,82000672
81027090,82000674
81027090,82000676
81027090,82000679
81027090,82000685
81027090,82000687
81027090,82000688
81027090,82000689
81027090,82000691
81027090,82000693
81027090,82000696
81027090,82000697
81027090,82000699
81027090,82000705
81027090,82000710
81027090,82000712
81027090,82000715
81027090,82000716
81027090,82000717
81027090,82000719
81027090,82000720
81027090,82000721
81027090,82000722
81027090,82000724
81027090,82000725
81027090,82000726
81027090,82000727
81027090,82000729
81027090,82000730
81027090,82000731
81027090,82000733
81027090,82000734
81027090,82000736
81027090,82000737
81027090,82000738
81027090,82000742
81027090,82000743
81027090,82000747
81027090,82000758
81027090,82000761
81027090,82000764
81027090,82000765
81027090,82000768
81027090,82000770
81027090,82000771
81027090,82000772
81027090,82000775
81027090,82000779
81027090,82000783
81027090,82000785
81027090,82000787
81027090,82000795
81027090,82000797
81027090,82000799
81027090,82000800
81027090,82000801
81027090,82000810
81027090,82000812
81027090,82000813
81027090,82000814
81027090,82000819
81027090,82000821
81027090,82000835
81027090,82000837
81027090,82000840
81027090,82000841
81027090,82000843
81027090,82000844
81027090,82000845
81027090,82000846
81027090,82000847
81027090,82000850
81027090,82000851
81027090,82000852
81027090,82000853
81027090,82000854
81027090,82000856
81027090,82000857
81027090,82000861
81027090,82000863
81027090,82000865
81027090,82000868
81027090,82000869
81027090,82000870
81027090,82000871
81027090,82000876
81027090,82000884
81027090,82000891
81027090,82000893
81027090,82000894
81027090,82000902
81027090,82000907
81027090,82000911
81027090,82000912
81027090,82000920
81027090,82000921
81027090,82000928
81027090,82000933
81027090,82000935
81027090,82000936
81027090,82000939
81027090,82000940
81027090,82000946
81027090,82000949
81027090,82000950
81027090,82000951
81027090,82000952
81027090,82000953
81027090,82000955
81027090,82000956
81027090,82000957
81027090,82000958
81027090,82000961
81027090,82000962
81027090,82000963
81027090,82000966
81027090,82000968
81027090,82000970
81027090,82000975
81027090,82000977
81027090,82000980
81027090,82000988
81027090,82000989
81027090,82000998
81027090,82001000
81027090,82001010
81027090,82001013
81027090,82001020
81027090,82001022
81027090,82001026
81027090,82001030
81027090,82001032
81027090,82001033
81027090,82001039
81027090,82001041
81027090,82001042
81027090,82001053
81027090,82001054
81027090,82001055
81027090,82001058
81027090,82001064
81027090,82001065
81027090,82001066
81027090,82001070
81027090,82001071
81027090,82001072
81027090,82001075
81027090,82001079
81027090,82001083
81027090,82001098
81027090,82001114
81027090,82001120
81027090,82001121
81027090,82001127
81027090,82001128
81027090,82001129
81027090,82001132
81027090,82001136
81027090,82001137
81027090,82001146
81027090,82001148
81027090,82001149
81027090,82001150
81027090,82001151
81027090,82001152
81027090,82001161
81027090,82001162
81027090,82001168
81027090,82001170
81027090,82001173
81027090,82001174
81027090,82001176
81027090,82001178
81027090,82001179
81027090,82001180
81027090,82001181
81027090,82001183
81027090,82001184
81027090,82001185
81027090,82001186
81027090,82001187
81027090,82001188
81027090,82001192
81027090,82001200
81027090,82001202
81027090,82001203
81027090,82001204
81027090,82001205
81027090,82001214
81027090,82001217
81027090,82001222
81027090,82001225
81027090,82001227
81027090,82001229
81027090,82001230
81027090,82001231
81027090,82001232
81027090,82001234
81027090,82001236
81027090,82001256
81027090,82001261
81027090,82001262
81027090,82001263
81027090,82001265
81027090,82001266
81027090,82001267
81027090,82001270
81027090,82001271
81027090,82001273
81027090,82001276
81027090,82001277
81027090,82001284
81027090,82001285
81027090,82001286
81027090,82001287
81027090,82001292
81027090,82001293
81027090,82001294
81027090,82001295
81027090,82001298
81027090,82001302
81027090,82001303
81027090,82001304
81027090,82001305
81027090,82001307
81027090,82001313
81027090,82001330
81027090,82001332
81027090,82001333
81027090,82001339
81027090,82001351
81027090,82001352
81027090,82001363
81027090,82001368
81027090,82001384
81027090,82001391
81027090,82001399
81027090,82001400
81027090,82001405
81027090,82001406
81027090,82001418
81027090,82001431
81027090,82001441
81027090,82001443
81027090,82001445
81027090,82001446
81027090,82001461
81027090,82001473
81027090,82001479
81027090,82001482
81027090,82001483
81027090,82001496
81027090,82001500
81027090,82001503
81027090,82001504
81027090,82001538
81027090,82001539
81027090,82001548
81027090,82001553
81027090,82001554
81027090,82001578
81027090,82001579
81027090,82001606
81027090,82001611
81027090,82001619
81027090,82001620
81027090,82001631
81027090,82001633
81027090,82001636
81027090,82001655
81027090,82001670
81027090,82001681
81027090,82001685
81027090,82001687
81027090,82001692
81027090,82001693
81027090,82001703
81027090,82001711
81027090,82001716
81027090,82001717
81027090,82001722
81027090,82001730
81027090,82001732
81027090,82001748
81027090,82001753
81027090,82001759
81027090,82001764
81027090,82001767
81027090,82001768
81027090,82001770
81027090,82001776
81027090,82001777
81027090,82001780
81027090,82001791
81027090,82001798
81027090,82002008
81027090,82002154
81027090,82002184
81027090,82002185
81027090,82002188
81027090,82002193
81027090,82002194
81027090,82002208
81027090,82002219
81027090,82002253
81027090,82002254
81027090,82002255
81027090,82002261
81027090,82002264
81027090,82002265
81027090,82002298
81027090,82002335
81027090,82002343
81027090,82002360
81027090,82002365
81027090,82002373
81027090,82002374
81027090,82002399
81027090,82002419
81027090,82002425
81027090,82002432
81027090,82002457
81027090,82002481
81027090,82002482
81027090,82002487
81027090,82002488
81027090,82002513
81027090,82002515
81027090,82002556
81027090,82002559
81027090,82002563
81027090,82002570
81027090,82002578
81027090,82002581
81027090,82002586
81027090,82002591
81027090,82002602
81027090,82002603
81027090,82002605
81027090,82002614
81027090,82002629
81027090,82002630
81027090,82002639
81027090,82002644
81027090,82002649
81027090,82002654
81027090,82002657
81027090,82002659
81027090,82002660
81027090,82002687
81027090,82002804
81027090,82002825
81027090,82002914
81027090,82002926
81027090,82002961
81027090,82002984
81027090,82003004
81027090,82003006
81027090,82003011
81027090,82003034
81027090,82003061
81027090,82003068
81027090,82003093
81027090,82003103
81027090,80037030
81027090,82003135
81027090,82003165
81027090,82003177
81027090,80037220
81027090,82003383
81027090,82003388
81027090,82003392
81027090,82003402
81027090,82003403
81027090,82003405
81027090,82003407
81027090,82003408
81027090,82003414
81027090,82003420
81027090,82003509
81027090,82003515
81027090,82003516
81027090,82003528
81027090,82003557
81027090,82003564
81027090,82003579
81027090,82003642
81027090,82003647
81027090,82003678
81027090,82003725
81027090,82003733
81027090,82003771
81027090,82003778
81027090,82003808
81027090,82003813
81027090,82003814
81027090,82003829
81027090,82003916
81027090,82003921
81027090,82003922
81027090,82003959
81027090,82003989
81027090,82004013
81027090,82004044
81027090,82004045
81027090,82004071
81027090,82004091
81027090,82004121
81027090,82004168
81027090,82004193
81027090,82004225
81027090,82004228
81027090,82004251
81027090,82004263
81027090,82004265
81027090,82004333
81027090,82004416
81027090,82004438
81027090,82004476
81027090,80038456
81027090,80038458
81027090,80103990
81027090,82004682
81027090,82004795
81027090,82004937
81027090,82005062
81027090,80039002
81027090,82005163
81027090,82005252
81027090,82005342
81027090,82005372
81027090,82005381
81027090,82005382
81027090,82005457
81027090,82005505
81027090,82005593
81027090,80039570
81027090,80039928
81027090,80040445
81027090,82006717
81027090,82007204
81027090,82008147
81027090,82008449
81027090,82008646
81027090,82008720
81027090,82009922
81027090,80051388
81027090,80117234
81027090,80116007
81027090,82011232
81027090,82013729
81027090,82014117
81027090,82014280
82003989,80056032
82003989,80037709
82003989,80039002
82003989,80043562
82003989,80039570
82003989,80040445
82003989,81029389
82026522,80052824
82026522,80086304
82026522,80039002
82026522,80042906
82026522,80103990
82026522,81029389
80011301,82011232
80011301,81027146
82004013,80000191
82004013,80037220
82004013,80143647
82004013,80038456
82004013,80040445
82004013,81029389
82026541,80043562
82026541,80037709
82026541,80000191
82026541,80117234
82026541,81029389
82014280,80052824
82014280,80029561
82014280,80000191
82014280,80037220
82014280,80038456
82014280,80103990
82014280,80039002
82014280,80042906
82014280,80043562
82014280,80111107
82014280,80051388
81027146,80011987
81027146,80012109
81027146,80051574
81027146,80051573
82004044,80088213
82004044,80000191
82004044,80039002
82004044,80043562
82004044,80040445
82004044,81029389
82004045,80088213
82004045,80000191
82004045,80039002
82004045,80043562
82004045,80040445
82004045,81029389
82008147,80088213
82008147,80025889
82008147,80000191
82008147,80037709
82008147,80039709
82008147,80040445
82008147,80042906
82008147,80116007
82002008,80088213
82002008,80025889
82002008,80000191
82002008,80043562
82002008,80042906
82002008,80103990
82002008,80037220
82002008,80044129
82002008,81029389
80044129,82025143
80044129,82025293
80044129,82025891
80044129,82000042
80044129,82000047
80044129,82000069
80044129,82000070
80044129,82000072
80044129,82000073
80044129,82000085
80044129,82000094
80044129,82000128
80044129,82000137
80044129,82000140
80044129,82000141
80044129,82000156
80044129,82000162
80044129,82000168
80044129,82000180
80044129,82000181
80044129,82000189
80044129,82000191
80044129,82000201
80044129,82000236
80044129,82000248
80044129,82000250
80044129,82000256
80044129,82000261
80044129,82000267
80044129,82000272
80044129,82000273
80044129,82000274
80044129,82000281
80044129,82000284
80044129,82000299
80044129,82000303
80044129,82000304
80044129,82000317
80044129,82000318
80044129,82000325
80044129,82000349
80044129,82000354
80044129,82000356
80044129,82000424
80044129,82000423
80044129,82000434
80044129,82000458
80044129,82000477
80044129,82000480
80044129,82000481
80044129,82000495
80044129,82000498
80044129,82000499
80044129,82000536
80044129,82000537
80044129,82000538
80044129,82000555
80044129,82000558
80044129,82000560
80044129,82000562
80044129,82000563
80044129,82000567
80044129,82000569
80044129,82000576
80044129,82000577
80044129,82000597
80044129,82000624
80044129,82000679
80044129,82000691
80044129,82000696
80044129,82000727
80044129,82000729
80044129,82000764
80044129,82000765
80044129,82000783
80044129,82000785
80044129,82000800
80044129,82000801
80044129,82000810
80044129,82000812
80044129,82000821
80044129,82000840
80044129,82000852
80044129,82000856
80044129,82000861
80044129,82000863
80044129,82000884
80044129,82000893
80044129,82000907
80044129,82000911
80044129,82000935
80044129,82001013
80044129,82001070
80044129,82001071
80044129,82001072
80044129,82001075
80044129,82001098
80044129,82001129
80044129,82001132
80044129,82001146
80044129,82001149
80044129,82001150
80044129,82001152
80044129,82001184
80044129,82001185
80044129,82001186
80044129,82001204
80044129,82001205
80044129,82001227
80044129,82001229
80044129,82001230
80044129,82001231
80044129,82001232
80044129,82001267
80044129,82001271
80044129,82001276
80044129,82001302
80044129,82001351
80044129,82001363
80044129,82001431
80044129,82001443
80044129,82001451
80044129,82001504
80044129,82001538
80044129,82001553
80044129,82001554
80044129,82001578
80044129,82001611
80044129,82001730
80044129,82001732
80044129,82001776
80044129,82002154
80044129,82002193
80044129,82002208
80044129,82002264
80044129,82002335
80044129,82002425
80044129,82002481
80044129,82002487
80044129,82002488
80044129,82002586
80044129,82002914
80044129,82003383
80044129,82003678
80044129,82003733
80044129,82003814
80044129,82003829
80044129,82004121
80044129,82004168
80044129,82004251
80044129,82004263
80044129,82004795
80044129,82005381
80044129,82005382
80044129,81029389
82004071,80088213
82004071,80000191
82004071,80037030
82004071,80037709
82004071,80039002
82004071,80143647
82004071,80040445
82004071,81029389
82004091,80000191
82004091,80037030
82004091,80039002
82004091,80117234
82004091,80039928
82004091,81029389
82000017,80052824
82000017,80029561
82000017,80000191
82000017,80111107
82000017,80143647
82000017,80051388
82000017,81029389
82000020,80039002
82000020,80037709
82000020,80039570
82000020,80042906
82000020,81029389
82000021,80025889
82000021,80037709
82000021,80143647
82000021,80051388
82000021,80039570
82000021,80042906
82000021,81029389
82004121,80052824
82004121,80056032
82004121,80103990
82004121,80117234
82004121,81029389
82000026,80088213
82000026,80000191
82000026,80039570
82000026,80040445
82000026,80037030
82000026,81029389
82000027,80088213
82000027,80025889
82000027,80000191
82000027,80043562
82000027,80038456
82000027,80039570
82000027,80042906
82000027,80037220
82000027,81029389
82000028,80052824
82000028,80029561
82000028,80111107
82000028,80103990
82000028,81029389
82000029,80056032
82000029,80039002
82000029,80043562
