source,target
163843,24883
163843,43724
163843,54662
163843,75595
163843,236724
165895,24883
165895,43724
165895,54662
165895,75595
165895,236724
145416,43724
145416,54662
145416,50622
145416,24883
145416,75595
145416,236724
163850,24883
163850,43724
163850,54662
163850,75595
163850,236724
141326,43724
141326,54662
141326,75595
141326,24883
141326,236724
147471,43724
147471,54662
147471,50622
147471,24883
147471,75595
147471,236724
163855,43724
163855,54662
163855,75595
163855,50622
163855,236724
81027090,80086304
81027090,82011232
147474,43724
147474,54662
147474,24883
147474,75595
147474,236724
147475,43724
147475,54662
147475,24883
147475,75595
147475,236724
165907,24883
165907,43724
165907,54662
165907,75595
165907,236724
165913,24883
165913,43724
165913,54662
165913,75595
165913,236724
141341,43724
141341,54662
141341,24883
141341,75595
141341,236724
165917,24883
165917,43724
165917,54662
165917,75595
165917,236724
163874,24883
163874,111293
163874,54662
163874,75595
163874,236724
80011301,82012515
80011301,82012504
80011301,82012501
80011301,82012498
80011301,82012505
80011301,82011232
80011301,82011502
80011301,81027146
80011301,82012291
131116,43724
131116,54662
131116,50622
131116,236724
163885,24883
163885,111293
163885,54662
163885,75595
163885,236724
147502,43724
147502,54662
147502,24883
147502,75595
147502,236724
131117,43724
131117,54662
131117,50622
131117,236724
145481,54662
145481,50622
145481,24883
145481,75595
145481,236724
81027146,82012515
81027146,82012504
81027146,82012501
81027146,82012498
81027146,80011987
81027146,80012109
81027146,80051574
81027146,80051573
81027146,82012291
81027146,82012505
81027146,82011502
163924,24883
163924,43724
163924,54662
163924,75595
163924,236724
165974,24883
165974,43724
165974,54662
165974,75595
165974,236724
145495,43724
145495,54662
145495,24883
145495,75595
145495,236724
149594,296719
149594,54662
149594,50622
149594,75595
149594,236724
155741,294268
155741,54662
155741,75595
155741,50622
155741,236724
155743,296719
155743,54662
155743,24883
155743,75595
155743,236724
147553,54662
147553,50622
147553,24883
147553,75595
147553,236724
147557,43724
147557,54662
147557,50622
147557,24883
147557,75595
147557,236724
141414,43724
141414,54662
141414,24883
141414,75595
141414,236724
127078,24883
127078,54662
127078,75595
127078,236724
127078,236748
147573,43724
147573,54662
147573,24883
147573,75595
147573,236724
147575,43724
147575,54662
147575,24883
147575,75595
147575,236724
157819,24883
157819,54662
157819,75595
157819,50622
157819,236724
82012291,81010180
82012291,80011987
82012291,80012109
157828,24883
157828,296719
157828,54662
157828,75595
157828,236724
131206,290352
131206,54662
131206,237076
131206,236724
131217,54662
131217,75595
131217,24883
131217,236724
131219,54662
131219,75595
131219,24883
131219,236724
163989,24883
163989,43724
163989,54662
163989,75595
163989,236724
